value
0
0
0
0
0
0
0
0
0
0
0.74
0
0
0.95
0
0.22
1.67
8.83
0
0.44
0
0.69
0
0
0
0
0
0.14
0.43
0.27
0.1
0.51
0.28
0.35
0
0
0
0.26
1.33
0
0
0
0
0
0
0
0
0.9
0.25
0.27
0
0
1.87
2.08
0.42
0.22
0
0
0.22
1.57
0
0
0
0
0
0
0
0.13
0
0.42
0.08
0.13
2.62
0.37
0
0.32
0.6
0
0.13
0
0
0
0
0
0
0.14
0
0
0
0.79
0.14
0.18
1.02
0.38
0.92
0.2
0.32
0.11
0
0
0
0
0
0.14
0.12
0
0
0
0.28
0.33
0.1
0.27
2.55
0.26
0.12
0.4
0.12
0
0
0
0
0
0
0.13
0
1.33
0.09
0
0.11
0.1
0
0
1.15
0
0
0
0
0
0
0
0
0
0
0
0.12
0
0
1.1
0.5
0.13
0.39
0.3
0
0
0.13
0
0
0
0
0
0
0
0
0
0.26
0
0
0
0
0
0
0
0
0.08
0
0.11
0.16
0
0
0
0
0
0
0.68
0
0.12
0.07
0
0
